[2016-11-18 18:31:03.209]		推广：__fan.test.lacues.cn____
[2016-11-18 18:32:08.337]		推广：__fan.test.lacues.cn____
[2016-11-18 18:32:10.296]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-18 18:32:12.247]		推广：http://fan.test.lacues.cn/Search.html?t=0.8228263086639345__fan.test.lacues.cn____
[2016-11-18 18:32:16.669]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-18 18:32:22.617]		推广：__fan.test.lacues.cn____
[2016-11-18 18:32:25.840]		推广：http://fan.test.lacues.cn/order/OrderConfirm.html?t=0.2118977603968233__fan.test.lacues.cn____
[2016-11-18 18:32:35.496]		推广：__fan.test.lacues.cn____
[2016-11-18 18:32:54.416]		推广：http://fan.test.lacues.cn/order/OrderConfirm.html?t=0.0963545807171613__fan.test.lacues.cn____
[2016-11-18 18:33:19.519]		推广：__fan.test.lacues.cn____
[2016-11-18 18:33:28.000]		推广：__fan.test.lacues.cn____
[2016-11-18 18:33:29.208]		推广：__fan.test.lacues.cn____
[2016-11-18 18:33:30.640]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-18 18:33:49.834]		推广：http://fan.test.lacues.cn/Search.html?t=0.8228263086639345__fan.test.lacues.cn____
[2016-11-18 18:33:52.707]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-18 18:33:57.145]		推广：http://fan.test.lacues.cn/Search.html?t=0.8228263086639345__fan.test.lacues.cn____
[2016-11-18 18:43:31.998]		推广：__fan.test.lacues.cn____
[2016-11-18 18:43:39.108]		推广：http://fan.test.lacues.cn/Search.html?t=0.24766822435967195__fan.test.lacues.cn____
[2016-11-18 18:43:44.415]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-18 18:45:28.514]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-18 18:45:29.911]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=140508__fan.test.lacues.cn____
[2016-11-18 18:45:30.830]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-18 18:45:32.180]		推广：http://fan.test.lacues.cn/Search.html?t=0.24766822435967195__fan.test.lacues.cn____
